,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,trending,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2021-11-07 12:50:34,2021-11-07 12:49:30,7226,326.0,1867.0,42546,2021-10-29 20:43:28,5.0.0-rc1,14.0,187.0,20,2,1.0,,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-10-15 03:09:01,2021-06-14 10:10:40,11496,630.0,550.0,42066,2018-04-02 17:18:43,1.2.2,2.0,47.0,21,2,,219.0,448.0,8.0,,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2021-11-04 20:48:53,2021-09-25 15:23:01,6494,158.0,1570.0,22475,2020-11-17 05:48:13,1.7.0,15.0,92.0,21,2,,687.0,192443.0,3927.0,,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-10-30 17:37:48,2021-06-03 21:52:26,2376,127.0,193.0,22297,2018-11-18 11:21:02,0.13.2,3.0,39.0,20,1,1.0,746.0,,,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2021-10-31 00:49:08,2019-03-31 22:03:47,9104,1674.0,783.0,20845,2018-03-19 23:26:21,2.1,3.0,47.0,22,2,,203.0,1062595.0,21685.0,,,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2021-11-08 12:01:02,2021-11-04 12:04:18,7610,966.0,2440.0,19515,2020-09-21 21:03:27,6.0.0,9.0,361.0,25,1,,18008.0,51832.0,996.0,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2021-11-06 10:33:20,2021-11-06 10:33:18,4724,113.0,2600.0,18723,2021-07-23 18:55:45,0.5,9.0,191.0,23,2,,,,,396.0,396.0,
7,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2021-11-08 11:35:32,2021-11-08 11:09:28,3439,903.0,2375.0,17337,2021-05-26 11:43:06,2.1.1,4.0,53.0,22,1,-1.0,,,,395.0,395.0,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2021-11-08 08:40:22,2021-11-02 13:20:20,5535,292.0,4340.0,17078,2021-10-28 02:31:37,2.18.0,19.0,274.0,26,1,,1803.0,,,153.0,153.0,
9,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2021-11-04 17:53:10,2021-11-04 17:53:10,4693,362.0,847.0,16162,,,,64.0,16,1,,502.0,,,,,
10,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2021-11-07 00:07:38,2021-10-31 15:21:18,4761,274.0,327.0,15781,2018-12-03 05:40:38,1.8.1,2.0,95.0,24,1,,411.0,,,351.0,351.0,
