,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,trending,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,updated_github_id
10,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2022-02-17 19:18:21,2022-02-17 19:18:21,4966,292.0,337.0,16603,2018-12-03 05:40:38,1.8.1,2.0,101.0,24,1,,421.0,,,425.0,425.0,
11,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-02-20 21:28:15,2022-02-02 17:15:20,2655,48.0,398.0,16552,2022-01-31 23:25:04,0.1-mit-weights,29.0,65.0,30,1,,1266.0,920454.0,27892.0,2000.0,2000.0,
12,openface,cmusatyalab openface.,https://github.com/cmusatyalab/openface,cmusatyalab/openface,./screenshots/openface.jpeg,人脸检测与识别,True,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2022-02-11 03:38:54,2019-11-26 15:56:28,3421,6.0,369.0,14291,2016-02-25 17:42:46,0.2.1,4.0,30.0,20,2,,734.0,,,,,
13,EasyOCR,JaidedAI EasyOCR.,https://github.com/JaidedAI/EasyOCR,JaidedAI/EasyOCR,./screenshots/EasyOCR.png,OCR文字识别,True,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39,2022-02-14 09:21:02,2022-01-14 14:06:14,1819,170.0,335.0,13814,2021-09-11 09:36:28,1.4.1,15.0,91.0,30,1,,476.0,1165668.0,58283.0,891.0,891.0,
14,facenet,davidsandberg facenet.,https://github.com/davidsandberg/facenet,davidsandberg/facenet,./screenshots/facenet.jpeg,人脸检测与识别,True,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2022-02-09 23:31:54,2018-04-16 17:32:11,4575,483.0,615.0,12298,,,,36.0,18,3,,566.0,,,,,
15,the-gan-zoo,hindupuravinash the-gan-zoo.,https://github.com/hindupuravinash/the-gan-zoo,hindupuravinash/the-gan-zoo,./screenshots/the-gan-zoo.jpeg,生成对抗网络GAN,True,https://github.com/hindupuravinash/the-gan-zoo,MIT,2017-04-14 16:45:24,2022-01-13 00:54:20,2018-09-30 20:02:46,2261,14.0,16.0,11704,,,,23.0,18,2,,175.0,,,,,
16,PyTorch-GAN,eriklindernoren PyTorch-GAN.,https://github.com/eriklindernoren/PyTorch-GAN,eriklindernoren/PyTorch-GAN,./screenshots/PyTorch-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/PyTorch-GAN,MIT,2018-04-21 13:06:40,2022-01-27 19:30:29,2021-01-06 16:32:26,3149,86.0,45.0,11352,,,,10.0,17,2,,193.0,,,,,
17,nni,microsoft nni.,https://github.com/microsoft/nni,microsoft/nni,./screenshots/nni.png,模型压缩与优化,True,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44,2022-02-21 08:38:08,2022-02-21 04:39:32,1523,258.0,1246.0,11014,2022-02-18 09:34:19,2.6.1,34.0,159.0,26,1,,2504.0,,,187.0,187.0,
18,libfacedetection,ShiqiYu libfacedetection.,https://github.com/ShiqiYu/libfacedetection,ShiqiYu/libfacedetection,./screenshots/libfacedetection.png,人脸检测与识别,True,https://github.com/ShiqiYu/libfacedetection,,2015-01-20 07:47:20,2021-11-20 16:12:16,2021-11-20 16:12:16,2879,37.0,256.0,10937,2021-09-24 16:29:39,3.0,2.0,23.0,17,3,-1.0,189.0,,,,,
19,deep_learning_object_detection,hoya012 deep_learning_object_detection.,https://github.com/hoya012/deep_learning_object_detection,hoya012/deep_learning_object_detection,./screenshots/deep_learning_object_detection.png,目标检测,True,https://github.com/hoya012/deep_learning_object_detection,,2018-09-18 01:37:58,2021-11-17 07:19:22,2021-11-17 07:19:22,2734,4.0,22.0,10449,,,,9.0,13,3,-1.0,144.0,,,,,
20,ganhacks,soumith ganhacks.,https://github.com/soumith/ganhacks,soumith/ganhacks,./screenshots/ganhacks.png,生成对抗网络GAN,True,https://github.com/soumith/ganhacks,,2016-12-09 16:09:27,2022-01-09 06:29:17,2020-03-05 00:50:04,1586,48.0,15.0,10299,,,,3.0,13,3,,6.0,,,,,
21,awesome-semantic-segmentation,awesome-semantic-segmentation.,https://github.com/mrgloom/awesome-semantic-segmentation,mrgloom/awesome-semantic-segmentation,./screenshots/awesome-semantic-segmentation.jpeg,图像分割,True,https://github.com/mrgloom/awesome-semantic-segmentation,,2015-10-03 10:07:34,2021-05-08 13:40:11,2021-03-08 14:36:09,2218,6.0,19.0,8982,,,,16.0,14,3,,417.0,,,,,
22,pix2pix,phillipi pix2pix.,https://github.com/phillipi/pix2pix,phillipi/pix2pix,./screenshots/pix2pix.jpeg,图图转换ImageTranslation,True,https://github.com/phillipi/pix2pix,,2016-11-16 22:48:50,2021-06-06 12:09:47,2020-08-05 01:16:42,1555,77.0,119.0,8858,,,,17.0,13,2,,130.0,,,,,
23,Vision-Transformer,lucidrains vit-pytorch.,https://github.com/lucidrains/vit-pytorch,lucidrains/vit-pytorch,./screenshots/Vision-Transformer.png,图像分类,True,https://github.com/lucidrains/vit-pytorch,MIT,2020-10-03 22:47:24,2022-01-31 16:55:47,2022-01-31 16:55:31,1387,80.0,88.0,8626,2022-01-31 16:55:47,0.26.7,100.0,14.0,21,2,2.0,,,,70.0,70.0,
24,Keras-GAN,eriklindernoren Keras-GAN.,https://github.com/eriklindernoren/Keras-GAN,eriklindernoren/Keras-GAN,./screenshots/Keras-GAN.png,生成对抗网络GAN,True,https://github.com/eriklindernoren/Keras-GAN,MIT,2017-07-11 16:24:53,2022-01-23 17:09:47,2021-01-06 16:32:52,2976,119.0,98.0,8561,,,,16.0,17,2,,185.0,,,,,
25,chineseocr_lite,DayBreak-u chineseocr_lite.,https://github.com/DayBreak-u/chineseocr_lite,DayBreak-u/chineseocr_lite,./screenshots/chineseocr_lite.png,OCR文字识别,True,https://github.com/DayBreak-u/chineseocr_lite,GPL-2.0,2020-02-27 10:01:29,2022-02-16 12:21:31,2022-02-16 12:21:31,1719,207.0,115.0,8556,,,,12.0,15,2,,34.0,,,,,
26,facebookresearch-detr,facebookresearch detr.,https://github.com/facebookresearch/detr,facebookresearch/detr,./screenshots/facebookresearch-detr.png,目标检测,True,https://github.com/facebookresearch/detr,Apache-2.0,2020-05-26 23:54:52,2021-11-28 09:13:56,2021-10-18 10:06:31,1433,140.0,269.0,8384,2020-06-29 16:41:01,0.2,1.0,24.0,16,3,,42.0,,,,,
27,vid2vid,NVIDIA vid2vid.,https://github.com/NVIDIA/vid2vid,NVIDIA/vid2vid,./screenshots/vid2vid.gif,图图转换ImageTranslation,True,https://github.com/NVIDIA/vid2vid,,2018-08-14 23:27:15,2020-01-31 13:18:57,2019-07-03 21:49:56,1141,98.0,62.0,7921,,,,4.0,12,3,,65.0,,,,,
28,carla,carla-simulator carla.,https://github.com/carla-simulator/carla,carla-simulator/carla,./screenshots/carla.jpeg,自动驾驶,True,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2022-02-21 10:03:24,2021-11-19 11:13:47,2096,517.0,3169.0,7359,2021-11-16 19:51:12,0.9.13,24.0,138.0,24,2,,5439.0,,,124.0,124.0,
29,PaddleDetection,PaddleDetection.,https://github.com/PaddlePaddle/PaddleDetection,PaddlePaddle/PaddleDetection,./screenshots/PaddleDetection.jpeg,目标检测,True,https://github.com/PaddlePaddle/PaddleDetection,Apache-2.0,2019-10-25 07:21:14,2022-02-21 09:52:42,2022-02-17 06:41:25,1607,928.0,2057.0,6356,2021-12-09 11:11:05,2.3.0,5.0,80.0,19,3,,,,,9.0,9.0,
30,Ultra-Light-Fast-Generic-Face-Detector-1MB,Linzaer Ultra-Light-Fast-Generic-Face-Detector-1MB.,https://github.com/Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,./screenshots/Ultra-Light-Fast-Generic-Face-Detector-1MB.jpeg,人脸检测与识别,True,https://github.com/Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,MIT,2019-10-10 07:40:48,2022-02-10 06:24:50,2022-02-10 06:24:50,1409,109.0,138.0,6244,,,,16.0,16,3,,189.0,,,,,
31,CenterNet,xingyizhou-CenterNet.,https://github.com/xingyizhou/CenterNet,xingyizhou/CenterNet,./screenshots/xingyizhou-CenterNet.jpeg,目标检测,True,https://github.com/xingyizhou/CenterNet,MIT,2019-04-16 18:39:13,2021-11-11 12:47:50,2020-06-22 00:53:44,1702,387.0,543.0,6209,,,,14.0,14,3,-1.0,50.0,,,,,
32,UGATIT,taki0112 UGATIT.,https://github.com/taki0112/UGATIT,taki0112/UGATIT,./screenshots/UGATIT.png,图图转换ImageTranslation,True,https://github.com/taki0112/UGATIT,MIT,2019-07-26 00:33:54,2021-05-20 03:23:05,2020-01-16 10:15:30,975,50.0,62.0,6076,,,,3.0,13,2,,50.0,,,,,
33,PaddleGAN,PaddlePaddle PaddleGAN.,https://github.com/PaddlePaddle/PaddleGAN,PaddlePaddle/PaddleGAN,./screenshots/PaddleGAN.png,生成对抗网络GAN,True,https://github.com/PaddlePaddle/PaddleGAN,Apache-2.0,2020-06-18 10:56:01,2022-02-14 08:22:59,2022-02-14 08:22:59,856,143.0,48.0,5404,2022-01-04 07:14:10,2.1.0,3.0,38.0,19,1,,224.0,,,,,
34,U-2-Net,xuebinqin-U-2-Net.,https://github.com/xuebinqin/U-2-Net,xuebinqin/U-2-Net,./screenshots/xuebinqin-U-2-Net.png,目标检测,True,https://github.com/xuebinqin/U-2-Net,Apache-2.0,2020-05-04 17:10:28,2022-01-13 03:35:42,2021-12-28 07:05:13,917,147.0,103.0,5355,,,,13.0,15,3,,221.0,,,,,
35,srez,david-gpu srez.,https://github.com/david-gpu/srez,david-gpu/srez,./screenshots/srez.jpeg,图像超分辨率,True,https://github.com/david-gpu/srez,MIT,2016-08-26 22:22:09,2017-08-16 10:48:45,2016-10-18 02:29:50,648,18.0,39.0,5282,,,,4.0,13,3,,22.0,,,,,
36,facebookresearch-mmf,facebookresearch mmf.,https://github.com/facebookresearch/mmf,facebookresearch/mmf,./screenshots/facebookresearch-mmf.png,图文转换ImageCaptioning与视觉问答VQA,True,https://github.com/facebookresearch/mmf,,2018-06-27 04:52:40,2022-02-19 15:51:00,2022-02-17 08:51:56,796,163.0,417.0,4797,2019-08-26 19:04:21,0.3.1,2.0,91.0,16,1,,,,,11.0,11.0,
37,gans-awesome-applications,nashory gans-awesome-applications.,https://github.com/nashory/gans-awesome-applications,nashory/gans-awesome-applications,./screenshots/gans-awesome-applications.png,生成对抗网络GAN,True,https://github.com/nashory/gans-awesome-applications,,2017-10-12 03:19:02,2021-12-21 11:02:09,2020-10-12 06:53:28,713,11.0,2.0,4036,,,,6.0,12,3,,33.0,,,,,
38,PandaOCR,miaomiaosoft PandaOCR.,https://github.com/miaomiaosoft/PandaOCR,miaomiaosoft/PandaOCR,./screenshots/PandaOCR.png,OCR文字识别,True,https://github.com/miaomiaosoft/PandaOCR,,2018-05-16 19:56:02,2021-11-16 18:35:20,2021-11-16 18:35:20,578,58.0,201.0,3973,2021-06-25 09:00:46,2.71,59.0,,14,2,-2.0,264.0,5308.0,117.0,,,
39,ESRGAN,xinntao ESRGAN.,https://github.com/xinntao/ESRGAN,xinntao/ESRGAN,./screenshots/ESRGAN.png,图像超分辨率,True,https://github.com/xinntao/ESRGAN,Apache-2.0,2018-08-31 08:18:41,2021-08-25 20:48:53,2021-07-27 19:32:01,720,80.0,40.0,3972,,,,,13,3,,61.0,,,,,
40,tensorflow-generative-model-collections,hwalsuklee tensorflow-generative-model-collections.,https://github.com/hwalsuklee/tensorflow-generative-model-collections,hwalsuklee/tensorflow-generative-model-collections,./screenshots/tensorflow-generative-model-collections.png,生成对抗网络GAN,True,https://github.com/hwalsuklee/tensorflow-generative-model-collections,Apache-2.0,2017-08-24 14:24:02,2018-07-21 02:09:52,2018-03-23 00:34:56,826,19.0,8.0,3794,,,,6.0,13,3,,76.0,,,,,
41,microsoft-VoTT,microsoft VoTT.,https://github.com/microsoft/VoTT,microsoft/VoTT,./screenshots/microsoft-VoTT.png,目标检测,True,https://github.com/microsoft/VoTT,MIT,2016-12-29 13:32:23,2021-12-06 21:10:56,2021-12-06 21:10:56,743,233.0,242.0,3740,2020-06-02 23:16:17,2.2.0,21.0,21.0,21,3,,556.0,109536.0,1856.0,,,
42,PaddleSeg,PaddlePaddle PaddleSeg.,https://github.com/PaddlePaddle/PaddleSeg,PaddlePaddle/PaddleSeg,./screenshots/PaddleSeg.gif,图像分割,True,https://github.com/PaddlePaddle/PaddleSeg,Apache-2.0,2019-08-26 02:32:22,2022-02-21 12:10:31,2022-02-01 06:32:29,829,441.0,447.0,3711,2022-01-20 01:41:50,2.4,14.0,74.0,20,2,,,,,495.0,495.0,
43,image-super-resolution,idealo image-super-resolution.,https://github.com/idealo/image-super-resolution,idealo/image-super-resolution,./screenshots/image-super-resolution.jpeg,图像超分辨率,True,https://github.com/idealo/image-super-resolution,Apache-2.0,2018-11-26 13:41:13,2022-01-23 11:27:35,2021-06-02 09:45:13,600,83.0,108.0,3427,2020-01-08 15:35:45,2.2.0,1.0,10.0,19,2,,150.0,,,73.0,73.0,
44,really-awesome-gan,nightrome really-awesome-gan.,https://github.com/nightrome/really-awesome-gan,nightrome/really-awesome-gan,./screenshots/really-awesome-gan.png,生成对抗网络GAN,True,https://github.com/nightrome/really-awesome-gan,,2017-04-03 14:49:43,2021-11-01 15:24:41,2021-11-01 15:24:40,672,,7.0,3415,,,,15.0,11,3,,136.0,,,,,
45,TNN,Tencent TNN.,https://github.com/Tencent/TNN,Tencent/TNN,./screenshots/TNN.png,模型压缩与优化,True,https://github.com/Tencent/TNN,,2020-05-29 07:20:28,2022-02-21 03:55:22,2022-02-16 07:53:56,587,193.0,525.0,3370,2021-04-26 14:23:12,0.3.0,1.0,70.0,17,2,,2349.0,972.0,97.0,,,
46,awesome-Face_Recognition,ChanChiChoi awesome-Face_Recognition.,https://github.com/ChanChiChoi/awesome-Face_Recognition,ChanChiChoi/awesome-Face_Recognition,./screenshots/awesome-Face_Recognition.jpeg,人脸检测与识别,True,https://github.com/ChanChiChoi/awesome-Face_Recognition,,2018-11-09 06:16:47,2021-10-14 15:36:41,2021-08-31 06:09:29,809,4.0,,3328,,,,,11,3,,127.0,,,,,
47,PaddlePaddle-PaddleClas,PaddlePaddle PaddleClas.,https://github.com/PaddlePaddle/PaddleClas,PaddlePaddle/PaddleClas,./screenshots/PaddlePaddle-PaddleClas.png,图像分类,True,https://github.com/PaddlePaddle/PaddleClas,Apache-2.0,2020-03-30 04:27:42,2022-02-21 11:50:45,2022-02-21 03:16:49,709,237.0,257.0,3298,2022-02-07 11:04:22,2.3.1,6.0,43.0,18,2,,,,,8.0,8.0,
48,openmmlab-mmsegmentation,openmmlab-mmsegmentation.,https://github.com/open-mmlab/mmsegmentation,open-mmlab/mmsegmentation,./screenshots/open-mmlab-mmsegmentation.png,图像分割,True,https://github.com/open-mmlab/mmsegmentation,Apache-2.0,2020-06-14 04:32:33,2022-02-21 10:13:16,2022-02-21 10:13:15,929,89.0,701.0,3174,2022-02-09 09:29:15,0.21.1,19.0,78.0,22,1,,373.0,,,58.0,58.0,
49,TuSimple-simpledet,TuSimple simpledet.,https://github.com/TuSimple/simpledet,TuSimple/simpledet,./screenshots/TuSimple-simpledet.png,目标检测,True,https://github.com/TuSimple/simpledet,Apache-2.0,2019-01-29 08:28:55,2021-09-23 02:57:09,2021-09-23 02:57:09,470,43.0,210.0,2973,,,,18.0,13,3,,139.0,,,,,
50,BasicSR,xinntao BasicSR.,https://github.com/xinntao/BasicSR,xinntao/BasicSR,./screenshots/BasicSR.png,图像超分辨率,True,https://github.com/xinntao/BasicSR,Apache-2.0,2018-04-19 18:58:00,2022-02-15 16:27:31,2022-02-15 16:26:52,672,184.0,228.0,2917,2022-02-15 16:30:52,1.3.5,15.0,14.0,21,1,2.0,462.0,,,124.0,124.0,
51,deep-text-recognition-benchmark,clovaai deep-text-recognition-benchmark.,https://github.com/clovaai/deep-text-recognition-benchmark,clovaai/deep-text-recognition-benchmark,./screenshots/chinese_ocr.jpeg,OCR文字识别,True,https://github.com/clovaai/deep-text-recognition-benchmark,Apache-2.0,2019-04-03 07:24:05,2021-12-17 04:44:55,2020-12-11 03:12:52,860,152.0,147.0,2731,,,,13.0,14,2,,146.0,,,,,
52,facenet-pytorch,timesler facenet-pytorch.,https://github.com/timesler/facenet-pytorch,timesler/facenet-pytorch,./screenshots/facenet-pytorch.gif,人脸检测与识别,True,https://github.com/timesler/facenet-pytorch,MIT,2019-05-25 01:29:24,2021-12-13 14:59:32,2021-12-13 12:07:11,571,56.0,90.0,2677,2020-09-07 23:53:20,2.4.1,6.0,14.0,24,1,,235.0,206866.0,7661.0,640.0,640.0,
53,PocketFlow,Tencent PocketFlow.,https://github.com/Tencent/PocketFlow,Tencent/PocketFlow,./screenshots/PocketFlow.png,模型压缩与优化,True,https://github.com/Tencent/PocketFlow,,2018-10-31 07:45:21,2021-01-15 22:06:42,2019-05-28 02:57:14,493,72.0,202.0,2677,,,,11.0,12,3,,214.0,,,,,
54,srgan,tensorlayer srgan.,https://github.com/tensorlayer/srgan,tensorlayer/srgan,./screenshots/srgan.jpeg,图像超分辨率,True,https://github.com/tensorlayer/srgan,,2017-04-20 17:08:27,2021-12-03 07:58:41,2021-12-03 07:58:41,743,128.0,100.0,2672,2019-07-28 14:45:22,1.4.1,9.0,9.0,15,2,,117.0,4732.0,84.0,,,
55,CHINESE-OCR,xiaofengShi CHINESE-OCR.,https://github.com/xiaofengShi/CHINESE-OCR,xiaofengShi/CHINESE-OCR,./screenshots/CHINESE-OCR.png,OCR文字识别,True,https://github.com/xiaofengShi/CHINESE-OCR,,2018-04-14 14:32:16,2019-08-13 03:48:30,2019-07-06 08:11:15,927,146.0,20.0,2604,,,,2.0,10,3,,25.0,,,,,
56,chinese_ocr,YCG09 chinese_ocr.,https://github.com/YCG09/chinese_ocr,YCG09/chinese_ocr,./screenshots/chinese_ocr.png,OCR文字识别,True,https://github.com/YCG09/chinese_ocr,Apache-2.0,2018-03-16 06:52:08,2019-10-08 03:48:03,2019-10-08 03:48:28,1042,260.0,109.0,2491,,,,,12,3,,13.0,,,,,
57,NVlabs-MUNIT,NVlabs MUNIT.,https://github.com/NVlabs/MUNIT,NVlabs/MUNIT,./screenshots/NVlabs-MUNIT.jpeg,图图转换ImageTranslation,True,https://github.com/NVlabs/MUNIT,,2018-03-30 21:56:14,2021-11-11 23:45:33,2021-11-11 23:45:33,463,54.0,42.0,2432,,,1.0,5.0,11,3,,87.0,,,,,
58,image-segmentation-keras,divamgupta image-segmentation-keras.,https://github.com/divamgupta/image-segmentation-keras,divamgupta/image-segmentation-keras,./screenshots/image-segmentation-keras.png,图像分割,True,https://github.com/divamgupta/image-segmentation-keras,MIT,2017-03-20 20:48:54,2022-01-01 15:01:02,2021-03-31 20:44:01,967,139.0,174.0,2381,,,1.0,16.0,16,2,,235.0,1266.0,37.0,,,
59,pixel2style2pixel,eladrich pixel2style2pixel.,https://github.com/eladrich/pixel2style2pixel,eladrich/pixel2style2pixel,./screenshots/pixel2style2pixel.png,图图转换ImageTranslation,True,https://github.com/eladrich/pixel2style2pixel,MIT,2020-10-01 11:01:03,2022-01-11 20:03:17,2021-09-26 14:07:14,386,1.0,248.0,2323,,,,5.0,14,2,,55.0,,,,,
60,pytorch-generative-model-collections,znxlwm pytorch-generative-model-collections.,https://github.com/znxlwm/pytorch-generative-model-collections,znxlwm/pytorch-generative-model-collections,./screenshots/pytorch-generative-model-collections.png,生成对抗网络GAN,True,https://github.com/znxlwm/pytorch-generative-model-collections,,2017-08-31 03:58:25,2020-04-12 11:55:29,2018-06-12 09:57:00,507,23.0,5.0,2317,,,,2.0,10,3,,87.0,,,,,
61,captcha_break,ypwhs captcha_break.,https://github.com/ypwhs/captcha_break,ypwhs/captcha_break,./screenshots/captcha_break.png,OCR文字识别,True,https://github.com/ypwhs/captcha_break,MIT,2017-02-21 14:04:20,2020-05-17 04:03:53,2020-01-10 13:03:53,613,46.0,18.0,2315,2019-06-18 13:05:05,2.0,2.0,2.0,12,3,,12.0,474.0,14.0,,,
62,UGATIT-pytorch,znxlwm UGATIT-pytorch.,https://github.com/znxlwm/UGATIT-pytorch,znxlwm/UGATIT-pytorch,./screenshots/UGATIT-pytorch.jpeg,图图转换ImageTranslation,True,https://github.com/znxlwm/UGATIT-pytorch,MIT,2019-07-29 07:44:56,2021-06-03 11:41:49,2019-10-15 02:58:17,458,47.0,22.0,2294,,,,2.0,11,3,,17.0,,,,,
63,captcha_trainer,kerlomz captcha_trainer.,https://github.com/kerlomz/captcha_trainer,kerlomz/captcha_trainer,./screenshots/captcha_trainer.png,OCR文字识别,True,https://github.com/kerlomz/captcha_trainer,Apache-2.0,2018-08-17 06:17:47,2021-11-07 17:35:19,2021-11-07 17:35:13,664,50.0,36.0,2293,,,,4.0,14,2,,199.0,,,,,
64,ctrip-OCR,ctripcorp C-OCR.,https://github.com/ctripcorp/C-OCR,ctripcorp/C-OCR,./screenshots/C-OCR.png,OCR文字识别,True,https://github.com/ctripcorp/C-OCR,,2019-04-11 06:07:08,2019-05-08 09:56:50,2019-05-08 09:56:49,562,15.0,2.0,2198,,,,,10,3,,11.0,,,,,
65,awesome-image-classification,weiaicunzai awesome-image-classification.,https://github.com/weiaicunzai/awesome-image-classification,weiaicunzai/awesome-image-classification,./screenshots/awesome-image-classification.png,图像分类,True,https://github.com/weiaicunzai/awesome-image-classification,,2012-05-23 14:07:04,2020-09-17 14:00:53,2020-09-17 14:00:01,513,1.0,,2070,,,,2.0,10,3,,32.0,,,,,
66,open-mmlab-mmtracking,PaddleDetection.,https://github.com/open-mmlab/mmtracking,open-mmlab/mmtracking,./screenshots/open-mmlab-mmtracking.gif,目标检测,True,https://github.com/open-mmlab/mmtracking,Apache-2.0,2020-08-29 06:16:56,2022-02-21 09:56:46,2022-02-21 02:28:40,297,44.0,112.0,2030,2022-02-10 04:47:28,0.10.0,9.0,22.0,22,2,2.0,229.0,,,117.0,117.0,
67,AutonomousDrivingCookbook,microsoft AutonomousDrivingCookbook.,https://github.com/microsoft/AutonomousDrivingCookbook,microsoft/AutonomousDrivingCookbook,./screenshots/AutonomousDrivingCookbook.jpeg,自动驾驶,True,https://github.com/microsoft/AutonomousDrivingCookbook,MIT,2017-11-30 20:51:02,2019-03-15 04:17:31,2018-08-24 17:12:26,489,31.0,86.0,1967,,,,5.0,13,3,,46.0,,,,,
