,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,trending,updated_github_id
0,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2022-04-10 21:03:36,2022-03-31 20:10:24,7514,348.0,1947.0,44698,2022-03-01 16:33:53,5.1.0,21.0,192.0,20,2,,,,,,,
1,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2022-04-03 13:40:00,2021-06-14 10:10:40,11890,650.0,559.0,43823,2018-04-02 17:18:43,1.2.2,2.0,47.0,21,2,219.0,457.0,7.0,,,,
2,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2022-03-29 10:10:59,2022-03-24 14:59:56,6819,138.0,1632.0,23869,2020-11-17 05:48:13,1.7.0,15.0,97.0,21,2,696.0,210760.0,3902.0,,,,
3,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-10-30 17:37:48,2021-06-03 21:52:26,2528,138.0,196.0,23655,2018-11-18 11:21:02,0.13.2,3.0,39.0,19,2,746.0,,,,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2022-04-04 05:39:06,2019-03-31 22:03:47,9460,1736.0,806.0,21516,2018-03-19 23:26:21,2.1,3.0,47.0,22,2,203.0,1155335.0,21395.0,,,,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2022-04-09 01:02:53,2022-03-31 13:23:57,8092,1086.0,2477.0,20499,2021-12-28 13:36:17,7.0.0,10.0,372.0,26,1,18074.0,54950.0,964.0,,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2022-04-10 11:06:59,2022-04-05 23:46:20,5292,169.0,2744.0,20483,2021-11-15 22:08:26,0.6,10.0,202.0,23,2,,,,567.0,567.0,,
7,PaddleOCR,PaddlePaddle PaddleOCR.,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle/PaddleOCR,./screenshots/PaddleOCR.png,OCR文字识别,True,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16,2022-04-11 08:19:24,2022-04-08 10:56:00,4100,1028.0,3165.0,19802,2021-05-26 11:43:06,2.1.1,4.0,91.0,22,1,,,,597.0,597.0,-1.0,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2022-04-11 10:11:52,2022-03-30 01:42:05,6303,479.0,5027.0,19070,2022-03-30 01:42:37,2.23.0,31.0,325.0,27,1,2006.0,,,323.0,323.0,,
9,pytorch-image-models,rwightman pytorch-image-models.,https://github.com/rwightman/pytorch-image-models,rwightman/pytorch-image-models,./screenshots/pytorch-image-models.png,图像分类,True,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12,2022-04-09 08:30:57,2022-04-05 21:12:31,2877,40.0,426.0,17624,2022-04-03 22:14:28,0.1-weights-swin2,31.0,71.0,30,1,1345.0,1070607.0,30588.0,2523.0,2523.0,,
