,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,projectrank_placing,dependent_project_count,github_dependent_project_count,trending
0,face_recognition,ageitgey face_recognition.,https://github.com/ageitgey/face_recognition,ageitgey/face_recognition,./screenshots/face_recognition.gif,人脸检测与识别,True,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2021-03-20 02:37:00,2020-09-26 15:32:59,11003,590.0,539.0,40065,211.0,2018-04-02 17:18:43,1.2.2,441.0,9.0,2.0,45.0,21,2,,,
1,tesseract,tesseract-ocr-tesseract.,https://github.com/tesseract-ocr/tesseract,tesseract-ocr/tesseract,./screenshots/tesseract.png,OCR文字识别,True,https://github.com/tesseract-ocr/tesseract,Apache-2.0,2014-08-12 18:04:59,2021-05-24 00:09:13,2021-05-21 20:07:26,6974,304.0,1777.0,40027,5573.0,2019-12-26 15:43:01,4.1.1,,,11.0,182.0,22,1,,,
2,waifu2x,nagadomi waifu2x.,https://github.com/nagadomi/waifu2x,nagadomi/waifu2x,./screenshots/waifu2x.jpeg,图像超分辨率,True,https://github.com/nagadomi/waifu2x,MIT,2015-05-17 07:29:15,2021-01-27 23:14:12,2021-01-27 23:13:33,2310,127.0,188.0,21192,743.0,2018-11-18 11:21:02,0.13.2,,,3.0,38.0,19,1,,,
3,openpose,CMU-Perceptual-Computing-Lab openpose.,https://github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose,./screenshots/openpose.jpeg,人脸检测与识别,True,https://github.com/CMU-Perceptual-Computing-Lab/openpose,,2017-04-24 14:06:31,2021-05-08 07:37:50,2021-04-19 02:53:05,6116,104.0,1555.0,20985,685.0,2020-11-17 05:48:13,1.7.0,172241.0,4005.0,15.0,90.0,21,2,,,
4,matterport-Mask_RCNN,matterport-Mask_RCNN.,https://github.com/matterport/Mask_RCNN,matterport/Mask_RCNN,./screenshots/matterport-Mask_RCNN.png,目标检测,True,https://github.com/matterport/Mask_RCNN,,2017-10-19 20:28:34,2021-04-18 12:48:24,2019-03-31 22:03:47,8683,1580.0,741.0,20022,203.0,2018-03-19 23:26:21,2.1,951318.0,22123.0,3.0,47.0,25,2,135.0,135.0,
5,apollo,ApolloAuto apollo.,https://github.com/ApolloAuto/apollo,ApolloAuto/apollo,./screenshots/apollo.jpeg,自动驾驶,True,https://github.com/ApolloAuto/apollo,Apache-2.0,2017-07-04 19:03:31,2021-05-24 11:27:38,2021-05-24 11:27:24,6989,800.0,2370.0,18453,17782.0,2020-09-21 21:03:27,6.0.0,47906.0,1041.0,9.0,346.0,25,1,,,
6,detectron2,facebookresearch detectron2.,https://github.com/facebookresearch/detectron2,facebookresearch/detectron2,./screenshots/detectron2.gif,目标检测,True,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20,2021-05-23 15:30:50,2021-05-23 15:30:47,4062,78.0,2364.0,16498,1146.0,2021-03-13 01:36:49,0.4,,,8.0,160.0,26,1,238.0,238.0,
7,pytorch-CycleGAN-and-pix2pix,junyanz pytorch-CycleGAN-and-pix2pix.,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,junyanz/pytorch-CycleGAN-and-pix2pix,./screenshots/pytorch-CycleGAN-and-pix2pix.png,图图转换ImageTranslation,True,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,,2017-04-18 10:33:05,2021-05-19 11:07:16,2020-10-15 22:26:07,4378,338.0,824.0,15064,474.0,,,,,,58.0,16,1,,,
8,open-mmlab-mmdetection,open-mmlab-mmdetection.,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,./screenshots/open-mmlab-mmdetection.png,目标检测,True,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06,2021-05-24 09:24:11,2021-05-24 02:06:07,4836,279.0,3471.0,15003,1560.0,2021-05-03 05:08:39,2.12.0,,,12.0,222.0,26,1,55.0,55.0,
9,labelImg,tzutalin labelImg.,https://github.com/tzutalin/labelImg,tzutalin/labelImg,./screenshots/labelImg.jpeg,目标检测,True,https://github.com/tzutalin/labelImg,MIT,2015-09-17 01:33:59,2021-05-21 04:34:54,2021-05-11 16:39:28,4409,260.0,307.0,14340,402.0,2018-12-03 05:40:38,1.8.1,,,2.0,90.0,24,2,265.0,265.0,
